;Artist;Title;Date;Genre;Label;CriticScore;CriticNum;UserScore;UserNum
0;Lil Darkie;THIS DOES NOT EXIST;January 1,;;Experimental Hip Hop ;NR;0;61;367
1;Machine+;Saṃsāra;January 1,;;Shoegaze, Neo-Psychedelia, Experimental Rock ;NR;0;62;33
2;Rural Internet;SHOPPING MUSIC.;January 1,;;Experimental Hip Hop ;NR;0;67;26
3;Possible Space;The Truth About Last Night;January 1,;;- ;NR;0;21;25
4;Tom Sawyer;Momma;January 1,;-;Self-released;NR;0;7;24
5;Drunk With Pines;Drunk with Pines;January 1,;-;Drunk with Pines;NR;0;60;19
6;Mammock;Itch;January 1,;;Noise Rock, Math Rock ;NR;0;74;18
7;Surface To Air Missive;Shelly's Gone;January 1,;;Progressive Pop, Indie Rock ;NR;0;72;14
8;Garfo;pra començar bem;January 1,;;- ;NR;0;64;12
9;Natan Wojtyła;Vacant Alley;January 1,;-;Self-Released;NR;0;61;12
10;Angelwarrior Ace;Diviner;January 1,;;Thrash Metal ;NR;0;51;12
11;Patricia Taxxon;Jyväskylä;January 1,;;Deconstructed Club, IDM ;NR;0;69;12
12;John Tabacco;In Memory of Captain Tank;January 1,;Pop Rock, Soft Rock;John Tabacco;NR;0;58;11
13;Brett Kissel;Now or Never;January 1,;-;BAK 2 BAK Entertainment Inc.;NR;0;40;8
14;Cracked Gyroscope;i hope you're happy;January 1,;Lo-Fi, Noise Pop;Broken Camera;NR;0;52;8
15;Prizes Roses Rosa;The Kinspiral;January 1,;;- ;NR;0;73;7
16;Wolfi;White;January 1,;;- ;NR;0;58;7
17;H Zettrio;Re-So-La;January 1,;Jazz;World Apart Ltd.;NR;0;71;6
18;Joey Greer;Frontier;January 1,;Country;Heath Perritt Productions;NR;0;69;6
19;Slim Guerilla;3rd Coast SG;January 1,;;Hip Hop ;NR;0;68;6
20;Phil Moffa;Pieces For Painting;January 1,;-;Butcha Sound Records;NR;0;67;4
21;Impossible Nothing;She Is Black;January 1,;;Instrumental Hip Hop, Plunderphonics ;NR;0;59;4
22;Nightmares;After Death;January 1,;;Metalcore ;NR;0;52;4
23;Illustrate;Kick Drum;January 1,;-;Justin Ham;NR;0;61;4
